customer_id,name,email,age,signup_date,flag_churn
40001,Customer_0,cust0@example.com,69,2019-04-24,0
40002,Customer_1,cust1@mail.com,61,2021-08-02,1
40003,Customer_2,cust2@mail.com,67,2025-08-18,0
40004,Customer_3,cust3@sample.io,26,2019-06-24,0
40005,Customer_4,cust4@demo.net,74,2025-07-26,0
40006,Customer_5,cust5@example.com,40,2023-02-06,0
40007,Customer_6,cust6@sample.io,35,2020-08-12,0
40008,Customer_7,cust7@mail.com,62,2026-02-02,0
40009,Customer_8,cust8@example.com,51,2025-02-18,0
40010,Customer_9,cust9@demo.net,39,2026-02-08,1
40011,Customer_10,cust10@example.com,60,2019-01-21,0
40012,Customer_11,cust11@demo.net,66,2024-02-14,1
40013,Customer_12,cust12@sample.io,56,2024-09-11,0
40014,Customer_13,cust13@mail.com,72,2025-03-10,0
40015,Customer_14,cust14@sample.io,44,2026-02-09,1
40016,Customer_15,cust15@example.com,44,2024-05-17,0
40017,Customer_16,cust16@sample.io,25,2025-05-15,0
40018,Customer_17,cust17@example.com,45,2019-11-26,1
40019,Customer_18,cust18@mail.com,41,2019-12-21,0
40020,Customer_19,cust19@demo.net,30,2025-09-10,0
40021,Customer_20,cust20@demo.net,74,2022-01-02,0
40022,Customer_21,cust21@example.com,46,2025-03-29,1
40023,Customer_22,cust22@example.com,48,2021-06-29,1
40024,Customer_23,cust23@mail.com,59,2022-02-22,0
40025,Customer_24,cust24@sample.io,74,2023-09-14,0
40026,Customer_25,cust25@sample.io,20,2025-03-03,0
40027,Customer_26,cust26@demo.net,45,2020-09-03,0
40028,Customer_27,cust27@example.com,66,2019-05-23,0
40029,Customer_28,cust28@demo.net,19,2023-01-31,0
40030,Customer_29,cust29@sample.io,39,2026-04-13,0
40031,Customer_30,cust30@sample.io,45,2025-12-07,0
40032,Customer_31,cust31@example.com,62,2021-07-24,0
40033,Customer_32,cust32@demo.net,55,2021-11-22,0
40034,Customer_33,cust33@test.org,53,2020-04-06,1
40035,Customer_34,cust34@mail.com,57,2020-11-30,0
40036,Customer_35,cust35@sample.io,70,2021-05-01,1
40037,Customer_36,cust36@demo.net,49,2020-05-29,0
40038,Customer_37,cust37@mail.com,43,2024-08-09,0
40039,Customer_38,cust38@mail.com,56,2019-10-08,0
40040,Customer_39,cust39@example.com,37,2019-12-28,0
40041,Customer_40,cust40@test.org,44,2025-10-13,0
40042,Customer_41,cust41@mail.com,45,2024-01-11,1
40043,Customer_42,cust42@sample.io,23,2022-03-24,0
40044,Customer_43,cust43@test.org,73,2025-07-22,0
40045,Customer_44,cust44@demo.net,46,2019-10-08,0
40046,Customer_45,cust45@mail.com,52,2022-01-16,0
40047,Customer_46,cust46@test.org,30,2024-05-12,0
40048,Customer_47,cust47@test.org,23,2022-12-03,0
40049,Customer_48,cust48@test.org,74,2019-07-07,0
40050,Customer_49,cust49@test.org,55,2024-10-01,0
40051,Customer_50,cust50@sample.io,30,2019-02-06,0
40052,Customer_51,cust51@mail.com,53,2020-04-08,0
40053,Customer_52,cust52@mail.com,52,2024-12-13,1
40054,Customer_53,cust53@example.com,74,2023-10-06,0
40055,Customer_54,cust54@mail.com,70,2025-08-20,0
40056,Customer_55,cust55@sample.io,58,2026-01-23,0
40057,Customer_56,cust56@sample.io,24,2025-08-01,0
40058,Customer_57,cust57@example.com,64,2020-12-06,0
40059,Customer_58,cust58@test.org,53,2025-03-06,0
40060,Customer_59,cust59@test.org,30,2021-01-19,0
40061,Customer_60,cust60@example.com,38,2023-05-29,0
40062,Customer_61,cust61@sample.io,36,2019-05-01,0
40063,Customer_62,cust62@example.com,50,2025-08-01,0
40064,Customer_63,cust63@example.com,39,2024-10-15,0
40065,Customer_64,cust64@sample.io,41,2024-08-07,1
40066,Customer_65,cust65@example.com,33,2025-01-31,0
40067,Customer_66,cust66@test.org,35,2026-02-14,0
40068,Customer_67,cust67@test.org,50,2025-03-26,0
40069,Customer_68,cust68@demo.net,55,2023-04-10,1
40070,Customer_69,cust69@example.com,43,2021-08-08,1
40071,Customer_70,cust70@test.org,51,2025-05-30,1
40072,Customer_71,cust71@example.com,65,2025-12-22,0
40073,Customer_72,cust72@sample.io,39,2023-10-12,0
40074,Customer_73,cust73@test.org,37,2022-11-08,0
40075,Customer_74,cust74@example.com,62,2020-10-07,0
40076,Customer_75,cust75@mail.com,38,2019-01-12,1
40077,Customer_76,cust76@demo.net,48,2024-09-17,0
40078,Customer_77,cust77@example.com,52,2025-11-04,0
40079,Customer_78,cust78@demo.net,33,2023-06-29,0
40080,Customer_79,cust79@example.com,73,2020-11-29,0
40081,Customer_80,cust80@mail.com,51,2020-07-10,0
40082,Customer_81,cust81@demo.net,62,2023-08-20,1
40083,Customer_82,cust82@example.com,39,2020-11-13,0
40084,Customer_83,cust83@sample.io,70,2025-09-13,0
40085,Customer_84,cust84@example.com,35,2025-07-30,0
40086,Customer_85,cust85@sample.io,35,2020-03-31,0
40087,Customer_86,cust86@test.org,68,2021-05-24,0
40088,Customer_87,cust87@demo.net,39,2025-09-28,0
40089,Customer_88,cust88@test.org,51,2026-05-30,1
40090,Customer_89,cust89@test.org,35,2026-05-05,0
40091,Customer_90,cust90@sample.io,48,2019-08-15,1
40092,Customer_91,cust91@test.org,31,2025-12-01,0
40093,Customer_92,cust92@mail.com,18,2023-06-16,0
40094,Customer_93,cust93@example.com,21,2026-05-17,0
40095,Customer_94,cust94@example.com,31,2026-03-21,0
40096,Customer_95,cust95@demo.net,42,2022-11-15,0
40097,Customer_96,cust96@demo.net,19,2020-07-24,0
40098,Customer_97,cust97@sample.io,23,2019-11-16,0
40099,Customer_98,cust98@mail.com,54,2020-03-31,0
40100,Customer_99,cust99@mail.com,66,2026-05-14,0
40101,Customer_100,cust100@sample.io,34,2019-04-14,1
40102,Customer_101,cust101@example.com,41,2024-01-11,0
40103,Customer_102,cust102@test.org,47,2025-10-30,0
40104,Customer_103,cust103@test.org,62,2024-12-03,0
40105,Customer_104,cust104@mail.com,28,2019-10-25,1
40106,Customer_105,cust105@test.org,51,2023-01-29,0
40107,Customer_106,cust106@sample.io,60,2026-03-23,1
40108,Customer_107,cust107@demo.net,21,2024-02-16,0
40109,Customer_108,cust108@test.org,58,2026-05-08,0
40110,Customer_109,cust109@demo.net,62,2019-08-30,0
40111,Customer_110,cust110@mail.com,40,2022-04-10,0
40112,Customer_111,cust111@test.org,58,2019-12-22,1
40113,Customer_112,cust112@sample.io,38,2020-07-04,0
40114,Customer_113,cust113@sample.io,50,2023-10-12,1
40115,Customer_114,cust114@demo.net,34,2022-12-06,0
40116,Customer_115,cust115@test.org,56,2024-08-13,1
40117,Customer_116,cust116@mail.com,67,2023-05-28,0
40118,Customer_117,cust117@mail.com,34,2026-06-12,0
40119,Customer_118,cust118@mail.com,33,2024-01-05,0
40120,Customer_119,cust119@sample.io,56,2024-12-07,0
40121,Customer_120,cust120@example.com,62,2024-05-29,0
40122,Customer_121,cust121@demo.net,29,2020-06-16,0
40123,Customer_122,cust122@demo.net,34,2022-04-26,0
40124,Customer_123,cust123@test.org,70,2020-10-25,0
40125,Customer_124,cust124@mail.com,51,2021-08-02,0
40126,Customer_125,cust125@mail.com,68,2020-10-11,0
40127,Customer_126,cust126@demo.net,20,2019-03-15,0
40128,Customer_127,cust127@sample.io,33,2019-04-02,1
40129,Customer_128,cust128@demo.net,68,2020-12-19,0
40130,Customer_129,cust129@sample.io,46,2025-09-11,1
40131,Customer_130,cust130@mail.com,48,2022-07-03,0
40132,Customer_131,cust131@mail.com,34,2023-04-30,1
40133,Customer_132,cust132@test.org,21,2023-04-12,1
40134,Customer_133,cust133@mail.com,68,2025-11-08,0
40135,Customer_134,cust134@mail.com,36,2023-06-20,0
40136,Customer_135,cust135@example.com,22,2023-08-22,0
40137,Customer_136,cust136@demo.net,33,2022-10-06,0
40138,Customer_137,cust137@test.org,46,2019-01-14,0
40139,Customer_138,cust138@test.org,59,2020-11-21,0
40140,Customer_139,cust139@test.org,54,2025-04-17,0
40141,Customer_140,cust140@mail.com,54,2023-04-25,0
40142,Customer_141,cust141@test.org,71,2021-01-10,0
40143,Customer_142,cust142@mail.com,26,2025-05-25,0
40144,Customer_143,cust143@test.org,69,2024-08-24,0
40145,Customer_144,cust144@sample.io,66,2020-03-12,0
40146,Customer_145,cust145@example.com,29,2021-10-24,0
40147,Customer_146,cust146@sample.io,65,2022-04-01,0
40148,Customer_147,cust147@example.com,73,2021-06-01,0
40149,Customer_148,cust148@mail.com,29,2022-10-31,0
40150,Customer_149,cust149@mail.com,45,2021-10-25,1
40151,Customer_150,cust150@mail.com,57,2025-12-22,0
40152,Customer_151,cust151@mail.com,55,2024-11-01,0
40153,Customer_152,cust152@test.org,22,2020-04-29,0
40154,Customer_153,cust153@example.com,69,2023-05-13,1
40155,Customer_154,cust154@mail.com,42,2024-09-26,0
40156,Customer_155,cust155@demo.net,49,2023-01-19,0
40157,Customer_156,cust156@demo.net,55,2025-03-12,0
40158,Customer_157,cust157@sample.io,43,2024-10-22,0
40159,Customer_158,cust158@example.com,42,2019-09-10,1
40160,Customer_159,cust159@sample.io,61,2022-07-08,0
40161,Customer_160,cust160@test.org,39,2019-02-16,0
40162,Customer_161,cust161@demo.net,47,2024-04-29,0
40163,Customer_162,cust162@sample.io,73,2023-03-04,0
40164,Customer_163,cust163@test.org,65,2026-05-23,0
40165,Customer_164,cust164@example.com,41,2021-08-21,0
40166,Customer_165,cust165@demo.net,33,2021-06-20,0
40167,Customer_166,cust166@sample.io,59,2019-06-22,1
40168,Customer_167,cust167@demo.net,27,2021-10-21,0
40169,Customer_168,cust168@mail.com,26,2026-06-11,0
40170,Customer_169,cust169@sample.io,72,2020-06-01,0
40171,Customer_170,cust170@sample.io,71,2024-06-13,1
40172,Customer_171,cust171@sample.io,61,2023-04-15,0
40173,Customer_172,cust172@demo.net,41,2020-03-21,0
40174,Customer_173,cust173@example.com,65,2019-05-19,1
40175,Customer_174,cust174@sample.io,54,2025-02-11,0
40176,Customer_175,cust175@test.org,65,2021-09-10,0
40177,Customer_176,cust176@test.org,69,2021-02-03,0
40178,Customer_177,cust177@example.com,64,2023-11-06,0
40179,Customer_178,cust178@test.org,27,2019-09-28,0
40180,Customer_179,cust179@sample.io,50,2020-09-15,0
40181,Customer_180,cust180@mail.com,72,2024-07-28,1
40182,Customer_181,cust181@example.com,32,2019-12-09,0
40183,Customer_182,cust182@mail.com,35,2024-11-03,1
40184,Customer_183,cust183@demo.net,73,2025-09-07,0
40185,Customer_184,cust184@sample.io,74,2021-10-23,0
40186,Customer_185,cust185@mail.com,46,2023-06-18,0
40187,Customer_186,cust186@demo.net,29,2025-03-10,0
40188,Customer_187,cust187@mail.com,68,2022-04-12,0
40189,Customer_188,cust188@mail.com,42,2026-06-30,0
40190,Customer_189,cust189@mail.com,52,2020-08-17,0
40191,Customer_190,cust190@demo.net,45,2025-07-22,0
40192,Customer_191,cust191@sample.io,23,2022-04-16,0
40193,Customer_192,cust192@demo.net,23,2025-05-15,0
40194,Customer_193,cust193@demo.net,24,2019-01-13,0
40195,Customer_194,cust194@sample.io,50,2020-01-30,0
40196,Customer_195,cust195@test.org,52,2023-08-18,0
40197,Customer_196,cust196@sample.io,33,2020-04-15,0
40198,Customer_197,cust197@sample.io,52,2024-01-20,0
40199,Customer_198,cust198@mail.com,68,2020-04-18,1
40200,Customer_199,cust199@test.org,45,2026-06-19,0
40201,Customer_200,cust200@sample.io,42,2019-09-10,1
40202,Customer_201,cust201@example.com,59,2021-07-05,0
40203,Customer_202,cust202@demo.net,70,2024-08-21,1
40204,Customer_203,cust203@demo.net,40,2023-10-20,0
40205,Customer_204,cust204@test.org,24,2021-03-08,0
40206,Customer_205,cust205@mail.com,18,2019-03-01,1
40207,Customer_206,cust206@test.org,19,2023-08-08,0
40208,Customer_207,cust207@example.com,33,2023-03-22,1
40209,Customer_208,cust208@sample.io,68,2020-10-26,1
40210,Customer_209,cust209@mail.com,71,2020-06-10,0
40211,Customer_210,cust210@sample.io,60,2022-12-28,0
40212,Customer_211,cust211@example.com,40,2020-07-20,0
40213,Customer_212,cust212@mail.com,33,2019-04-12,0
40214,Customer_213,cust213@example.com,35,2023-08-19,0
40215,Customer_214,cust214@sample.io,51,2021-11-28,0
40216,Customer_215,cust215@mail.com,60,2021-11-14,0
40217,Customer_216,cust216@demo.net,18,2023-01-25,0
40218,Customer_217,cust217@test.org,61,2021-04-29,0
40219,Customer_218,cust218@demo.net,27,2024-10-04,0
40220,Customer_219,cust219@sample.io,43,2022-04-29,0
40221,Customer_220,cust220@mail.com,46,2022-12-16,0
40222,Customer_221,cust221@mail.com,29,2025-07-23,1
40223,Customer_222,cust222@demo.net,50,2020-06-25,1
40224,Customer_223,cust223@sample.io,67,2019-06-10,0
40225,Customer_224,cust224@mail.com,47,2023-02-05,0
40226,Customer_225,cust225@test.org,65,2023-10-16,0
40227,Customer_226,cust226@sample.io,72,2021-12-02,1
40228,Customer_227,cust227@sample.io,42,2024-04-16,0
40229,Customer_228,cust228@test.org,60,2024-10-19,0
40230,Customer_229,cust229@mail.com,20,2024-09-14,0
40231,Customer_230,cust230@demo.net,54,2024-06-29,1
40232,Customer_231,cust231@demo.net,19,2022-06-14,0
40233,Customer_232,cust232@test.org,55,2020-07-06,0
40234,Customer_233,cust233@mail.com,61,2024-10-24,1
40235,Customer_234,cust234@test.org,41,2022-02-07,1
40236,Customer_235,cust235@test.org,69,2023-06-01,0
40237,Customer_236,cust236@demo.net,71,2019-06-03,0
40238,Customer_237,cust237@sample.io,71,2025-11-19,0
40239,Customer_238,cust238@mail.com,34,2019-11-20,1
40240,Customer_239,cust239@demo.net,66,2024-04-23,0
40241,Customer_240,cust240@mail.com,66,2021-05-12,0
40242,Customer_241,cust241@example.com,72,2025-10-03,0
40243,Customer_242,cust242@sample.io,45,2024-04-05,0
40244,Customer_243,cust243@mail.com,27,2021-04-24,0
40245,Customer_244,cust244@example.com,39,2025-11-10,0
40246,Customer_245,cust245@sample.io,57,2024-12-01,0
40247,Customer_246,cust246@demo.net,32,2021-07-18,0
40248,Customer_247,cust247@example.com,33,2026-04-20,1
40249,Customer_248,cust248@demo.net,52,2023-07-26,0
40250,Customer_249,cust249@example.com,49,2025-06-20,0
40251,Customer_250,cust250@mail.com,30,2022-11-17,0
40252,Customer_251,cust251@demo.net,53,2019-12-09,0
40253,Customer_252,cust252@test.org,31,2020-04-26,0
40254,Customer_253,cust253@sample.io,48,2020-03-30,0
40255,Customer_254,cust254@test.org,20,2019-03-13,0
40256,Customer_255,cust255@mail.com,55,2019-06-22,0
40257,Customer_256,cust256@demo.net,42,2024-03-27,0
40258,Customer_257,cust257@test.org,19,2024-07-11,0
40259,Customer_258,cust258@mail.com,27,2024-11-14,0
40260,Customer_259,cust259@sample.io,30,2025-08-06,0
40261,Customer_260,cust260@mail.com,65,2026-02-17,0
40262,Customer_261,cust261@sample.io,20,2019-07-11,0
40263,Customer_262,cust262@mail.com,55,2022-06-13,0
40264,Customer_263,cust263@sample.io,19,2023-10-27,0
40265,Customer_264,cust264@test.org,23,2020-04-11,0
40266,Customer_265,cust265@demo.net,62,2022-12-02,0
40267,Customer_266,cust266@test.org,32,2026-04-01,0
40268,Customer_267,cust267@mail.com,66,2024-05-23,0
40269,Customer_268,cust268@mail.com,32,2022-01-14,0
40270,Customer_269,cust269@mail.com,24,2024-09-29,1
40271,Customer_270,cust270@test.org,66,2024-03-03,0
40272,Customer_271,cust271@example.com,35,2021-06-26,1
40273,Customer_272,cust272@sample.io,39,2022-08-23,0
40274,Customer_273,cust273@test.org,47,2021-03-27,0
40275,Customer_274,cust274@mail.com,42,2025-04-18,0
40276,Customer_275,cust275@mail.com,21,2022-04-14,0
