customer_id,customer_name,email,phone,city,segment,signup_date,is_active
20001,Frank E,user20001@demo.net,7923585293,Hyderabad,Bronze,2019-12-16,1
20002,Carol E,user20002@mail.com,6256707219,Chennai,Platinum,2021-04-27,1
20003,Frank E,user20003@sample.io,9049540410,Bangalore,Gold,2023-06-27,1
20004,Carol G,user20004@demo.net,8424622369,Jaipur,Silver,2023-12-12,0
20005,Bob A,user20005@sample.io,8948171230,Mumbai,Bronze,2021-03-23,1
20006,Carol H,user20006@example.com,9040696850,Jaipur,Bronze,2020-10-29,1
20007,Alice H,user20007@mail.com,6260663736,Chennai,Gold,2022-09-03,0
20008,Alice D,user20008@mail.com,6697748492,Pune,Bronze,2021-03-13,0
20009,Carol D,user20009@demo.net,7864790562,Surat,Bronze,2019-07-29,1
20010,Eve A,user20010@example.com,6367996426,Pune,Bronze,2023-12-03,1
20011,Bob H,user20011@sample.io,9246341463,Hyderabad,Gold,2024-05-10,1
20012,Frank F,user20012@test.org,8647347401,Surat,Gold,2022-07-22,1
20013,Grace D,user20013@sample.io,9229744240,Delhi,Platinum,2025-09-10,1
20014,Eve C,user20014@example.com,9058022211,Mumbai,Bronze,2018-12-10,1
20015,Eve H,user20015@example.com,7328859046,Surat,Bronze,2022-04-15,1
20016,Frank C,user20016@mail.com,8320331889,Pune,Silver,2019-01-05,1
20017,Frank C,user20017@test.org,9667229246,Delhi,Gold,2022-01-31,1
20018,Frank B,user20018@sample.io,7983491087,Delhi,Bronze,2023-04-19,1
20019,Grace B,user20019@example.com,7113985154,Kolkata,Bronze,2018-07-01,0
20020,Bob F,user20020@sample.io,9089985011,Chennai,Platinum,2025-04-26,1
20021,Eve E,user20021@test.org,6226666161,Chennai,Silver,2021-05-15,1
20022,Bob H,user20022@sample.io,6934275699,Delhi,Bronze,2024-09-19,1
20023,Frank E,user20023@example.com,6889032405,Pune,Silver,2023-04-12,1
20024,Dave E,user20024@test.org,9720577803,Ahmedabad,Bronze,2018-10-10,1
20025,Frank D,user20025@example.com,6503259345,Mumbai,Bronze,2019-07-04,1
20026,Dave E,user20026@demo.net,9250380851,Hyderabad,Silver,2024-11-13,1
20027,Grace A,user20027@sample.io,6673321328,Jaipur,Bronze,2021-05-26,1
20028,Grace F,user20028@sample.io,8943638594,Surat,Bronze,2022-04-17,1
20029,Dave D,user20029@sample.io,7418381438,Kolkata,Silver,2023-03-18,1
20030,Carol A,user20030@demo.net,8740960196,Mumbai,Bronze,2019-04-19,1
20031,Carol B,user20031@sample.io,9318364746,Kolkata,Bronze,2022-03-01,1
20032,Grace B,user20032@mail.com,7198287199,Chennai,Bronze,2019-04-02,1
20033,Dave B,user20033@example.com,8091061561,Ahmedabad,Silver,2020-07-01,1
20034,Frank D,user20034@mail.com,7432588032,Kolkata,Bronze,2025-07-20,1
20035,Eve B,user20035@demo.net,7250652201,Bangalore,Silver,2020-05-12,1
20036,Dave E,user20036@sample.io,7811156766,Kolkata,Bronze,2019-02-19,0
20037,Eve E,user20037@demo.net,7099257997,Delhi,Bronze,2021-10-25,1
20038,Grace C,user20038@example.com,7726232195,Hyderabad,Silver,2023-05-31,1
20039,Grace E,user20039@test.org,7808920433,Mumbai,Platinum,2025-03-18,1
20040,Eve D,user20040@demo.net,7476989741,Delhi,Bronze,2018-11-01,1
20041,Eve G,user20041@mail.com,7964397717,Kolkata,Silver,2023-04-21,1
20042,Frank F,user20042@demo.net,6031194041,Hyderabad,Bronze,2020-11-20,1
20043,Eve H,user20043@sample.io,8038125116,Surat,Silver,2025-02-20,1
20044,Eve F,user20044@test.org,8048961893,Ahmedabad,Gold,2023-02-02,1
20045,Bob A,user20045@mail.com,8981845352,Surat,Silver,2020-03-13,1
20046,Bob D,user20046@sample.io,7605736118,Ahmedabad,Platinum,2024-06-02,1
20047,Frank D,user20047@sample.io,6910476358,Surat,Platinum,2021-06-04,0
20048,Grace H,user20048@mail.com,8261877524,Chennai,Silver,2019-04-27,1
20049,Grace B,user20049@example.com,9746740849,Ahmedabad,Silver,2023-06-25,1
20050,Carol H,user20050@sample.io,9586475800,Hyderabad,Silver,2022-04-14,1
20051,Grace B,user20051@demo.net,7659684901,Pune,Platinum,2020-02-27,1
20052,Frank F,user20052@test.org,6055823851,Kolkata,Silver,2025-10-23,1
20053,Carol G,user20053@example.com,9385261937,Chennai,Silver,2021-07-07,1
20054,Bob B,user20054@mail.com,6566195008,Chennai,Bronze,2019-05-30,1
20055,Bob B,user20055@mail.com,6154285390,Chennai,Silver,2020-08-24,1
20056,Dave H,user20056@example.com,9565905671,Bangalore,Bronze,2021-11-16,0
20057,Carol G,user20057@demo.net,9850414928,Pune,Bronze,2020-01-17,0
20058,Alice E,user20058@mail.com,9610464163,Bangalore,Bronze,2020-06-02,1
20059,Carol F,user20059@demo.net,8294055447,Chennai,Bronze,2025-05-20,1
20060,Frank D,user20060@mail.com,7098102397,Jaipur,Silver,2024-07-23,1
20061,Dave H,user20061@example.com,8265230654,Kolkata,Bronze,2019-12-30,1
20062,Eve C,user20062@example.com,7411119683,Jaipur,Silver,2020-06-04,0
20063,Eve A,user20063@demo.net,9613437396,Pune,Bronze,2023-02-11,0
20064,Eve B,user20064@example.com,9635906679,Surat,Bronze,2022-06-20,1
20065,Alice B,user20065@demo.net,7171354408,Hyderabad,Bronze,2023-09-17,1
20066,Carol H,user20066@sample.io,6996555346,Kolkata,Bronze,2024-07-23,1
20067,Alice D,user20067@example.com,8473238272,Chennai,Bronze,2023-03-23,1
20068,Carol E,user20068@demo.net,7395895218,Kolkata,Gold,2019-08-29,1
20069,Carol E,user20069@demo.net,7637757399,Pune,Silver,2018-01-15,0
20070,Alice G,user20070@demo.net,6133948224,Kolkata,Bronze,2020-07-16,1
20071,Grace D,user20071@demo.net,8843012560,Delhi,Bronze,2024-08-24,1
20072,Bob D,user20072@example.com,6017201686,Pune,Bronze,2020-11-07,0
20073,Grace F,user20073@example.com,9972276585,Pune,Silver,2020-05-20,1
20074,Frank H,user20074@test.org,7180832489,Delhi,Bronze,2023-05-03,1
20075,Frank E,user20075@demo.net,9826349496,Mumbai,Bronze,2018-06-21,1
20076,Dave C,user20076@example.com,9618993016,Kolkata,Silver,2025-02-20,1
20077,Grace B,user20077@mail.com,7678652744,Bangalore,Bronze,2025-10-05,1
20078,Carol H,user20078@sample.io,7780635889,Chennai,Bronze,2023-11-18,0
20079,Frank H,user20079@demo.net,7612569746,Delhi,Bronze,2019-11-27,1
