customer_id,customer_name,email,region,signup_date
71,Customer_71,user_71@example.com,South,2023-03-12
94,Customer_94,user_94@example.com,South,2023-04-04
150,Customer_150,user_150@example.com,West,2023-05-30
415,Customer_415,user_415@example.com,East,2024-02-19
545,Customer_545,user_545@example.com,North,2024-06-28
671,Customer_671,user_671@example.com,North,2024-11-01
706,Customer_706,user_706@example.com,North,2024-12-06
765,Customer_765,user_765@example.com,North,2025-02-03
808,Customer_808,user_808@example.com,North,2025-03-18
839,Customer_839,user_839@example.com,West,2025-04-18
951,Customer_951,user_951@example.com,East,2025-08-08
952,Customer_952,user_952@example.com,West,2025-08-09
953,Customer_953,user_953@example.com,North,2025-08-10
954,Customer_954,user_954@example.com,West,2025-08-11
955,Customer_955,user_955@example.com,East,2025-08-12
956,Customer_956,user_956@example.com,East,2025-08-13
957,Customer_957,user_957@example.com,West,2025-08-14
958,Customer_958,user_958@example.com,North,2025-08-15
959,Customer_959,user_959@example.com,South,2025-08-16
960,Customer_960,user_960@example.com,East,2025-08-17
961,Customer_961,user_961@example.com,North,2025-08-18
962,Customer_962,user_962@example.com,North,2025-08-19
963,Customer_963,user_963@example.com,South,2025-08-20
964,Customer_964,user_964@example.com,East,2025-08-21
965,Customer_965,user_965@example.com,East,2025-08-22
966,Customer_966,user_966@example.com,North,2025-08-23
967,Customer_967,user_967@example.com,North,2025-08-24
968,Customer_968,user_968@example.com,South,2025-08-25
969,Customer_969,user_969@example.com,South,2025-08-26
970,Customer_970,user_970@example.com,East,2025-08-27
971,Customer_971,user_971@example.com,West,2025-08-28
972,Customer_972,user_972@example.com,East,2025-08-29
973,Customer_973,user_973@example.com,North,2025-08-30
974,Customer_974,user_974@example.com,East,2025-08-31
975,Customer_975,user_975@example.com,West,2025-09-01
976,Customer_976,user_976@example.com,South,2025-09-02
977,Customer_977,user_977@example.com,West,2025-09-03
978,Customer_978,user_978@example.com,West,2025-09-04
979,Customer_979,user_979@example.com,West,2025-09-05
980,Customer_980,user_980@example.com,South,2025-09-06
981,Customer_981,user_981@example.com,West,2025-09-07
982,Customer_982,user_982@example.com,West,2025-09-08
983,Customer_983,user_983@example.com,West,2025-09-09
984,Customer_984,user_984@example.com,North,2025-09-10
985,Customer_985,user_985@example.com,West,2025-09-11
986,Customer_986,user_986@example.com,South,2025-09-12
987,Customer_987,user_987@example.com,West,2025-09-13
988,Customer_988,user_988@example.com,West,2025-09-14
989,Customer_989,user_989@example.com,South,2025-09-15
990,Customer_990,user_990@example.com,West,2025-09-16
991,Customer_991,user_991@example.com,South,2025-09-17
992,Customer_992,user_992@example.com,West,2025-09-18
993,Customer_993,user_993@example.com,South,2025-09-19
994,Customer_994,user_994@example.com,West,2025-09-20
995,Customer_995,user_995@example.com,West,2025-09-21
996,Customer_996,user_996@example.com,North,2025-09-22
997,Customer_997,user_997@example.com,North,2025-09-23
998,Customer_998,user_998@example.com,West,2025-09-24
999,Customer_999,user_999@example.com,West,2025-09-25
1000,Customer_1000,user_1000@example.com,East,2025-09-26
